name,lat,lon,place_type,population
Matei,-16.6934156,-179.8799501,town,
Lami,-18.1132946,178.4067448,town,21000
Suvavou Village,-18.1144373,178.4144206,village,
Lautoka,-17.6046057,177.4482766,city,50000
Sigatoka,-18.1381611,177.5077794,town,10000
Nausori,-18.0287189,178.5289994,town,48000
Nasinu,-18.0964402,178.4807568,town,90000
Levuka,-17.6806903,178.8333993,town,1000
Ba,-17.5457103,177.6840732,town,7000
Navua,-18.2265812,178.1644067,town,
unnamed,-18.0198569,178.620013,village,
unnamed,-18.103343,178.6084537,hamlet,
unnamed,-18.0982523,178.6097154,hamlet,
Vanuadina,-18.0799928,178.5893392,village,
unnamed,-18.0807785,178.5704389,village,
unnamed,-18.0404266,178.6250063,village,
unnamed,-18.0507827,178.6184316,hamlet,
Labasa,-16.4332753,179.3664854,town,30000
Vitogo Village,-17.5921137,177.4952695,village,
Matawalu,-17.564444,177.515556,village,
Natawarau Village,-17.511667,177.555556,village,
Lomalagi Resort,-16.7624422,179.5077399,hamlet,
Savusavu,-16.7802184,179.3328955,town,3500
Nukumbalavu Village,-16.814181,179.3149965,village,
Tropic Splendor,-16.7009618,179.2842152,hamlet,
Vuadomo,-16.7121666,179.3088698,village,
Jerusalami Village,-16.7351228,179.3618425,village,
Nagigi Village,-16.7999605,179.479715,village,
Yaroi Village,-16.7776126,179.3441376,village,
Lavukalili,-16.7844929,179.5984716,village,
Urata Village,-16.7288711,179.3386014,village,
Rakiraki,-17.3780743,178.1531001,town,
Yasawairara,-16.7050986,177.5783069,village,
Navuniivi,-17.4580514,178.2620945,village,
unnamed,-17.4821928,178.3366327,village,
Verevere,-17.5481772,178.3770649,village,
Namarai,-17.5216785,178.3653103,village,
Denimanu,-16.804758,178.3213215,village,
Vuinaqalutu Village,-16.6384545,178.9791297,village,
Namatadogo Settlement,-16.6245919,178.9834158,village,
Nadrano Settlement,-16.6429621,178.9910065,village,
Natoaika Village,-17.950505,178.4538083,village,
Deladamanu Village,-17.9468408,178.4525852,village,
Sawakasa Vou Village,-17.7669314,178.5318713,village,
Burerua Village,-17.7670233,178.5332124,village,
unnamed,-16.653239,178.9891005,village,
Nadi,-17.7992725,177.4178549,city,50000
unnamed,-17.7637837,178.1670216,village,
unnamed,-17.9732318,178.2943291,village,
unnamed,-17.805281,178.1809845,village,
unnamed,-17.9842139,177.5336652,village,
Nalebaleba,-17.9537096,177.6720564,village,
Nasaucoko Village,-17.8735452,177.6958586,village,
Wauosi Village,-17.8407704,177.7138989,village,
unnamed,-17.8220433,177.7201809,village,
Tonuve,-17.9639558,177.7139904,village,
Tuvu,-17.9496882,177.7009706,village,
Bemana,-17.9540941,177.7029319,village,
Sovi Settlement,-18.0733996,177.6222534,village,
unnamed,-18.1051777,177.5688409,village,
Vatukarasa,-18.182571,177.6049598,village,
unnamed,-17.7724777,177.6671484,village,
unnamed,-17.7505408,177.7728917,hamlet,
unnamed,-17.7509447,177.7611007,village,
unnamed,-16.3445769,179.3265037,village,
unnamed,-16.3397319,179.3494095,village,
unnamed,-16.3418798,179.3103356,village,
Nabouwalu,-16.9951685,178.6890703,town,
unnamed,-16.9037308,178.658081,village,
Douma,-16.878094,178.6724866,village,
Nakorotiki,-16.8593366,178.8860241,village,
unnamed,-16.7491125,179.1180025,hamlet,
unnamed,-16.7654659,179.0956442,hamlet,
unnamed,-16.7355045,179.1604788,hamlet,
Bua,-16.7979838,178.6152813,village,
Lovoni,-17.6891301,178.7918753,town,
Rukuruku,-17.6425056,178.7559892,town,
Taviya,-17.6290747,178.7675883,village,
Viro,-17.6669413,178.7426558,village,
Naicabecabe,-17.7682911,178.7659691,village,
Uluibau,-17.7858094,178.7616966,village,
Nasesara,-17.755975,178.7490387,village,
Nasauvuki,-17.7652117,178.7567184,village,
Daku,-17.777854,178.7720307,village,
Wawa,-17.7639905,178.7360527,hamlet,
Niubasaga,-17.7771155,178.7417303,hamlet,
Naigani Village,-17.5842459,178.6709751,village,
Vatoa,-19.8222475,-178.2510868,village,300
Matukana,-20.663665,-178.7454536,village,71
Lovoni,-20.6606215,-178.720732,village,69
Doi,-20.6355513,-178.7222979,village,96
Dravuwalu,-18.9414429,-179.8617009,hamlet,
Tovu,-18.9570462,-179.8201538,village,
Raviravi,-19.1711271,179.7412668,hamlet,
Qalikarua,-19.168332,179.7845206,village,
Levukaidaku,-19.1899339,179.7618956,village,
Makadru,-19.1727342,179.7353601,village,
Yaroi,-19.1320079,179.7415931,village,
Lomati,-19.1640953,179.754056,village,
Natokalau,-19.119646,179.7620535,village,
Tubou,-18.2365527,-178.8105369,town,
Waciwaci,-18.2404155,-178.7838938,village,
Nasaqalau,-18.1786233,-178.8092217,village,
Vakano,-18.1795885,-178.7924869,village,
Nukunuku,-18.2021208,-178.750682,village,
Yadrana,-18.1903746,-178.774273,village,
Waitabu,-18.2355357,-178.7729153,village,
Tarakau,-17.7249665,-179.3288406,village,
Mabula,-17.769113,-179.3273471,village,
Lomati,-17.7317112,-179.2932209,village,
unnamed,-18.3623349,-179.2786251,village,
unnamed,-18.0549258,178.6794723,village,
unnamed,-18.0829557,178.6540669,village,
unnamed,-18.0214852,178.6393282,village,
unnamed,-18.0009791,178.633084,village,
unnamed,-18.0032032,178.6912882,village,
unnamed,-17.9975302,178.6245868,town,
unnamed,-18.0493274,178.6339999,village,
Namuka Village,-17.9785903,178.595414,village,
Bau,-17.9723087,178.6154911,village,
unnamed,-17.8462257,178.6077446,village,
unnamed,-17.6010454,178.4942303,village,
Dravuni,-17.9119814,178.57729,village,
unnamed,-17.9235987,178.5819678,village,
unnamed,-17.8881106,178.599842,village,
unnamed,-17.8934198,178.566411,village,
unnamed,-17.8744698,178.5985664,hamlet,
unnamed,-17.8619962,178.5830423,village,
unnamed,-17.7441813,178.5596851,village,
unnamed,-17.7407675,178.5526636,village,
Lawaki,-17.6494207,178.5776832,village,
unnamed,-17.6669868,178.5851721,village,
unnamed,-17.7176184,178.5637761,village,
unnamed,-17.6280157,178.549418,village,
unnamed,-17.6943474,178.3625335,village,
unnamed,-17.8084713,178.3777382,village,
Nakorovatu,-17.8279152,178.3240312,village,
unnamed,-17.8096532,178.3317899,village,
unnamed,-17.7923586,178.3586549,village,
unnamed,-17.7777676,178.3694559,village,
unnamed,-17.8352131,178.3279439,village,
Namatakula,-18.2291883,177.7837773,village,
Nambukelevu Village,-18.1286311,177.8660569,village,
Vunaniu,-18.2490363,177.8642458,village,
Balenabelo,-18.1637796,177.6214764,village,
Saru (Naivibuli) Village,-18.1254094,177.6454974,village,
Vunayawa Settlement,-18.1255979,177.638363,hamlet,
Naboutini,-18.2370542,177.8238181,village,
Veivatuloa,-18.1974303,178.215276,village,
Wainiyabia Village,-18.2621808,178.0331566,village,
unnamed,-18.2572128,178.0548297,village,
Namelimeli,-18.1737011,178.2423555,village,
Mau,-18.1838266,178.2338175,village,
unnamed,-16.800155,179.4696088,village,
Viani,-16.7422284,179.5807813,village,
unnamed,-16.7931183,179.5573913,village,
unnamed,-16.7996096,179.5756088,village,
unnamed,-16.7713732,179.6181599,village,
unnamed,-16.7283899,179.755768,village,
unnamed,-16.6735861,179.8219327,village,
unnamed,-16.74492,179.8473385,village,
Nawi,-16.6981272,179.8734477,village,
Buca,-16.6519191,179.8431495,village,
unnamed,-16.6112594,179.8611928,village,
Vunidogoloa (old village),-16.6699275,179.5028894,village,
Tabia Village,-16.6687764,179.4868498,village,
unnamed,-16.6330827,179.5314338,village,
unnamed,-16.607922,179.5489151,village,
unnamed,-16.5733317,179.5623221,town,
unnamed,-16.5931977,179.5227153,hamlet,
unnamed,-16.5839436,179.560643,hamlet,
unnamed,-16.5936912,179.5490666,town,
unnamed,-16.4610381,179.5288803,village,
unnamed,-16.5060567,179.6366689,village,
unnamed,-16.4740126,179.7110394,town,
unnamed,-16.4430312,179.7409299,village,
unnamed,-16.4272359,179.7489336,village,
unnamed,-16.407232,179.7654636,village,
unnamed,-16.3310959,179.8121361,village,
unnamed,-16.2571157,179.8603494,village,
unnamed,-16.3189508,179.8183921,hamlet,
Lagi,-16.2427459,179.8379615,village,
unnamed,-16.2251311,179.8492804,village,
unnamed,-16.2200008,179.851512,village,
unnamed,-16.2206906,179.8259196,hamlet,
unnamed,-16.5689736,179.3619054,village,
unnamed,-16.5693564,179.3528799,village,
unnamed,-16.6642429,179.2968968,village,
unnamed,-16.6625007,179.3520913,village,
unnamed,-16.6622707,179.3435713,village,
unnamed,-16.7198812,179.3152328,village,
unnamed,-16.7106795,179.3020414,village,
unnamed,-16.7152055,179.444612,village,
unnamed,-16.7718924,179.4842278,village,
unnamed,-16.788076,179.4056873,village,
unnamed,-16.3657385,179.4477001,village,
unnamed,-16.4888673,179.4891563,village,
unnamed,-16.5257563,179.8171907,village,
unnamed,-16.6042967,179.7195746,hamlet,
unnamed,-16.526805,179.8094691,village,
unnamed,-16.553659,179.781716,village,
unnamed,-16.5350358,179.7981985,village,
unnamed,-16.5715027,179.7615061,village,
Naceva,-17.7727021,-179.2942029,village,
Tokalau,-17.7421883,-179.2811206,village,
Tavua Town,-17.4415042,177.8635733,town,2500
Yamata,-17.3254688,177.1349508,village,
Nabukeru,-16.8418224,177.4675454,village,
Somosomo,-17.1020869,177.2609616,village,
Nacula,-16.8919376,177.3979474,village,
Wairiki,-16.8048744,179.990617,village,
unnamed,-17.7795508,178.4319266,village,
unnamed,-17.7975147,178.440088,village,
Pacific Harbour,-18.238151,178.0763283,village,
unnamed,-18.8445956,178.5303907,village,
unnamed,-19.0709115,178.0724651,village,
unnamed,-19.0714515,178.0501431,village,
unnamed,-19.072486,178.044264,village,
unnamed,-19.0740594,178.0402957,village,
unnamed,-19.0755335,178.067495,hamlet,
unnamed,-19.0757307,178.0626167,hamlet,
unnamed,-19.076692,178.072016,hamlet,
unnamed,-19.0774133,178.1074238,village,
unnamed,-19.0783923,178.0322763,hamlet,
unnamed,-19.0812061,178.0917468,hamlet,
unnamed,-19.0941156,178.0235528,hamlet,
unnamed,-19.0984,178.0206103,hamlet,
unnamed,-19.1034078,178.0148753,hamlet,
unnamed,-19.1075321,178.0058986,hamlet,
unnamed,-19.1085407,177.9996418,hamlet,
unnamed,-19.1277244,177.9555972,village,
unnamed,-19.1282239,177.9470463,hamlet,
unnamed,-19.1406086,177.9986302,village,
Matanuku,-19.1661482,178.100396,hamlet,
Dravuni Village,-18.7576869,178.5232765,village,
unnamed,-18.8797109,178.4935399,village,
unnamed,-18.8864232,178.5101808,hamlet,
unnamed,-18.8911692,178.4692174,hamlet,
unnamed,-18.9029667,178.5177151,hamlet,
Narikoso Village,-18.9174115,178.5069594,village,
unnamed,-18.9228499,178.4760246,village,
Tamavua Village,-18.1002348,178.4425968,village,
unnamed,-17.8495701,178.3006774,village,
Nawaisomo,-18.3601346,178.1311995,village,
Lalati,-18.3758373,178.1489424,hamlet,
Raviravi,-18.3765934,178.1071483,hamlet,
Soliyaga,-18.3840856,178.1662498,hamlet,
Dakuni,-18.4027911,178.1457588,village,
unnamed,-18.4079823,178.1036634,hamlet,
Naceva,-18.4194425,178.1075245,hamlet,
Suva,-18.1415884,178.4421662,city,100000
unnamed,-17.9615686,178.4012123,village,
Naqali Village,-17.9543728,178.3826182,village,
unnamed,-17.7735966,177.7571363,village,
unnamed,-17.708479,177.9075653,village,
Draiba,-17.868873,177.7691134,village,
Nanoko Village,-17.7566454,177.842151,village,300
Keiyasi,-17.8859107,177.7518682,village,
unnamed,-16.7222756,179.4550443,village,
unnamed,-17.7108751,177.7452917,village,
unnamed,-17.628235,177.7391602,village,
Lekutu,-16.6690162,178.7193852,village,
Naduri,-16.4436158,179.1462116,town,
unnamed,-16.7447331,179.1432414,hamlet,
Natuvu,-16.7447429,179.1531649,village,
unnamed,-16.7645964,179.069114,hamlet,
unnamed,-16.7941343,179.0122398,hamlet,
unnamed,-16.8165982,179.0264789,hamlet,
unnamed,-16.8283214,179.0262274,hamlet,
unnamed,-16.8762328,179.0186229,hamlet,
unnamed,-16.8876859,179.0194173,hamlet,
unnamed,-16.8936061,179.0684654,hamlet,
unnamed,-16.9062632,179.0423799,hamlet,
unnamed,-16.906632,179.0573344,hamlet,
unnamed,-16.9098284,179.0169897,hamlet,
unnamed,-16.9103693,178.9890554,hamlet,
unnamed,-16.916679,179.0249508,hamlet,
unnamed,-16.6565914,179.2689048,hamlet,
unnamed,-16.6636955,179.2549427,hamlet,
Nabalebale village,-16.6655606,179.2590398,hamlet,365
Vakativa Village,-16.6751936,179.2577578,hamlet,
unnamed,-16.6817042,179.2604763,hamlet,
unnamed,-16.6906376,179.2367866,hamlet,
Dreketi,-16.696038,179.2580851,village,
Codreudreu,-16.6989947,179.2311729,hamlet,
unnamed,-16.9599263,178.7801619,hamlet,
Savuna,-17.7295912,178.7261275,hamlet,
Navuti,-17.7628585,178.7560945,village,
Nasaga,-17.7097389,178.7653449,town,
Nawowo,-17.6248451,178.8092298,hamlet,
Toki,-17.6472199,178.8229118,village,
Vatukalo,-17.6428357,178.8209049,village,
Yaravudi,-17.6232608,178.7746655,village,
unnamed,-17.6229708,178.7775324,hamlet,
unnamed,-17.626933,178.7707654,hamlet,
Navuloa,-17.7019391,178.7619351,village,
Nathamaki,-17.244947,179.4298658,village,
Vatulele,-17.2488587,179.3944274,village,
Nabuna,-17.250473,179.3838636,village,
unnamed,-17.251278,179.3892989,hamlet,
unnamed,-17.253795,179.3847063,hamlet,
unnamed,-17.2642371,179.3902038,hamlet,
unnamed,-17.2730043,179.3960874,hamlet,
unnamed,-17.2764037,179.3931902,hamlet,
Nabasovi,-17.2888685,179.3620764,village,
Tuatua,-17.2936608,179.4382658,village,
Tavua,-17.2960847,179.3629551,village,
Navaga,-17.3063788,179.3668194,village,
Nasau,-17.3076881,179.4384815,village,
Naqaidamu,-17.3212969,179.4345862,village,
unnamed,-17.3270707,179.433912,hamlet,
unnamed,-17.3296667,179.4343392,hamlet,
Sinuvaca,-17.3340123,179.4329644,village,
Namacu,-17.3512264,179.4240724,village,
Kade,-17.3555192,179.3769086,village,
Nakodu,-17.3698166,179.4172524,village,
Mudu,-17.3768898,179.4094648,village,
unnamed,-17.3961746,179.3780766,hamlet,
unnamed,-17.7824356,179.4044244,village,
unnamed,-17.8001372,179.4233178,hamlet,
Tovulailai,-17.8099552,179.3991447,village,
unnamed,-17.8121158,179.4255913,hamlet,
unnamed,-17.8352681,179.4097247,hamlet,
Naigani,-17.7801089,179.1665272,hamlet,
Yavu,-17.7869116,179.1479774,hamlet,
Manuku,-17.7928289,179.1736241,hamlet,
Lomaviti village,-17.9862085,179.3292243,village,
Malawai,-18.002874,179.3399772,village,
Lamiti,-18.0089507,179.3419506,village,
Nawaikama,-18.0219628,179.2656558,village,
unnamed,-18.0292852,179.2744529,hamlet,
Somosomo,-18.011255,179.2409467,village,
Nukuloa,-18.0540498,179.3002489,village,
unnamed,-18.0561849,179.3028001,hamlet,
Nukuloa,-18.0628543,179.3071343,village,
Lovo,-18.1135065,179.3268349,village,
Vione,-17.9413618,179.2937573,village,
Qarani,-17.9466672,179.2704206,village,
unnamed,-17.9504187,179.2660389,hamlet,
Lekanai Village,-17.9512157,179.3092735,hamlet,
Navukailagi,-17.9572615,179.2602588,village,
Vanuaso,-17.9669121,179.3131135,village,
unnamed,-17.9807722,179.2531769,hamlet,
Sawaieke,-17.9869718,179.2526517,village,
Nuku,-18.5920832,179.8289766,village,
Vadra,-18.6026999,179.8349667,village,
Dakuibeqa,-18.4101668,178.1325197,village,
unnamed,-18.670371,-178.5007357,village,
Namuka,-18.8514485,-178.6345397,village,
unnamed,-18.917253,-178.9498558,village,
unnamed,-18.9318873,-178.9735265,village,
unnamed,-18.9439032,-178.9793412,hamlet,
Udu,-18.9859644,-178.9441987,village,
unnamed,-19.1219977,-178.5978642,hamlet,
unnamed,-18.3653055,-179.2756137,hamlet,
Dakuiloa,-18.4407212,-178.4686672,village,
Waiqori,-18.4453966,-178.4877496,village,
